Stand,Fire_frequency,Fire_presence,Rep,Depth,ANF_nggh,CN_mass,M3P_microgg,TC_gkg,TN_gkg,pH_H2O,NP,PMN,TP g_kg,Fe/P,M3Fe_M3P,CP,pH_KCl,labmoist%,field g_g dw,TC%,TN%,Tfe_gkg,M3Fe_microgg,Cfe,PMN/M3P
F1,1,UB,A,0--10,1.18,29.64,34.97,263.44,8.89,5.05,13.72,27.83,0.65,11.17,4.82,406.45,3.70,21.88,0.88,26.34,0.89,7.24,168.53,36.38,0.80
F1,1,UB,A,10--30,0.93,5.81,2.62,48.78,8.40,5.47,8.65,5.54,0.97,5.96,28.32,50.26,4.60,16.22,0.51,4.88,0.84,5.79,74.32,8.43,2.11
F1,1,UB,B,0--10,0.80,30.85,4.67,106.76,3.46,4.70,5.53,1.34,0.63,10.26,0.19,170.69,4.20,16.67,0.99,10.68,0.35,6.42,9.00,16.64,0.29
F1,1,UB,B,10--30,1.09,18.58,14.01,85.17,4.58,5.30,3.73,109.65,1.23,5.57,15.01,69.37,4.80,45.45,1.11,8.52,0.46,6.84,210.30,12.46,7.82
F1,1,UB,C,0--10,1.31,32.76,68.26,248.96,7.60,4.65,5.53,42.87,1.37,5.51,1.14,181.27,4.06,17.65,0.85,24.90,0.76,7.57,77.66,32.89,0.63
F1,1,UB,C,10--30,0.48,7.01,11.51,49.68,7.08,4.73,14.68,22.83,0.48,16.42,0.64,102.94,4.20,12.82,0.35,4.97,0.71,7.92,7.32,6.27,1.98
F1,1,UB,D,0--10,0.71,32.61,32.79,241.12,7.39,5.20,7.96,62.67,0.93,6.55,0.83,259.51,4.76,14.83,0.78,24.11,0.74,6.09,27.25,39.61,1.91
F1,1,UB,D,10--30,0.86,26.21,3.14,105.25,4.01,5.42,2.60,0.79,1.55,2.35,1.70,68.08,5.02,17.77,0.78,10.52,0.40,3.64,5.34,28.92,0.25
F1,1,B,A,10--30,0.96,30.88,56.86,82.40,2.67,5.51,1.92,10.66,1.39,5.14,0.17,59.40,4.35,23.25,0.79,8.24,0.27,7.13,9.53,11.56,0.19
F1,1,B,B,0--10,1.37,31.14,42.49,231.13,7.42,5.03,3.52,72.56,2.11,3.56,2.74,109.51,3.66,13.33,0.75,23.11,0.74,7.51,116.30,30.79,1.71
F1,1,B,C,0--10,1.35,30.64,42.28,234.36,7.65,5.07,4.28,73.51,1.79,5.50,0.21,131.22,3.71,15.32,1.88,23.44,0.76,9.82,8.72,23.86,1.74
F1,1,B,C,10--30,0.98,24.95,84.91,109.97,4.41,5.30,1.60,33.25,2.76,3.19,0.10,39.86,4.22,16.31,0.98,11.00,0.44,8.79,8.36,12.51,0.39
F1,1,B,D,0--10,0.03,34.72,42.08,262.18,7.55,4.95,3.66,195.91,2.06,4.21,3.54,127.21,3.48,33.06,0.84,26.22,0.76,8.67,149.00,30.25,4.66
F1,1,B,D,10--30,0.27,43.90,28.80,47.38,1.08,5.00,0.96,21.15,1.12,7.11,0.37,42.13,4.35,9.32,0.40,4.74,0.11,8.00,10.69,5.92,0.73
F2,2,UB,A,0--10,1.78,39.41,28.06,306.22,7.77,5.23,6.22,19.05,1.25,6.85,2.32,244.95,3.98,21.31,0.94,30.62,0.78,8.56,65.08,35.78,0.68
F2,2,UB,A,10--30,0.28,22.62,3.50,109.05,4.82,5.48,3.77,13.44,1.28,12.16,1.75,85.18,4.04,27.98,0.60,10.90,0.48,15.56,6.12,7.01,3.83
F2,2,UB,B,10--30,0.52,21.99,2.32,101.42,4.61,5.33,4.11,252.81,1.12,12.70,1.33,90.32,4.08,12.27,0.86,10.14,0.46,14.26,3.09,7.11,108.83
F2,2,UB,C,0--10,1.63,25.51,25.87,377.41,14.80,5.90,8.80,53.88,1.68,5.65,16.48,224.56,4.60,41.49,1.23,37.74,1.48,9.49,426.31,39.76,2.08
